"restaurant_id","name","address","location_lat","location_lng","primary_type","price_level","rating","attributes"
"ChIJAcTDU9YnQg0RQPklD7azVhk","Pajaritos mojados","C. del Humilladero, 3, Centro, 28005 Madrid, Spain","40.410527699999996","-3.7102306","Bar & Grill","0","4.5","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1471}"
"ChIJow5ZXCgmQg0RgZSiCPgkLRA","Matilda Café Barrio de Las Letras","C. de Almadén, 15, Centro, 28014 Madrid, Spain","40.4110984","-3.6942896000000003","Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1916}"
"ChIJbf-nfIAoQg0RqdYcb_6mEpo","Taberna La Tía Cebolla","C. de la Cruz, 27, Centro, 28012 Madrid, Spain","40.4151069","-3.7020587999999996","Bar","0","4","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":3627}"
"ChIJ0_302L4oQg0RQIIm2wYIINQ","Lemme's","C. de Padilla, 31, Salamanca, 28006 Madrid, Spain","40.431391","-3.6783389999999994","Takeout Restaurant","0","4.7","{""dineIn"":false,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":false,""userRatingCount"":246}"
"ChIJw3XYo9kpQg0RvwlXxH5IccY","Brunch Colors Ópera","C. de las Hileras, 9, Centro, 28013 Madrid, Spain","40.4173729","-3.7080934","Breakfast Restaurant","0","4.9","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":140}"
"ChIJHXwmpdApQg0RbsKJFhhdI8g","Loca obsesión l Brunch Madrid","C. de Bordadores, 2, Centro, 28013 Madrid, Spain","40.4163226","-3.7076572999999997","Brunch Restaurant","0","4.9","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1646}"
"ChIJ_9SOxn4oQg0R4lQCOMHB5Uc","La Rollerie","C. Mayor, 24, Centro, 28013 Madrid, Spain","40.416424299999996","-3.7071617000000003","Cafeteria","0","4.4","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":3530}"
"ChIJZaBCiocoQg0RhYq46qXa8o4","Brunch Club","C. del Barco, 15, Centro, 28004 Madrid, Spain","40.4216","-3.7028222","Restaurant","0","4.5","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1895}"
"ChIJpaeX6lcnQg0Rg2gjg-o19ng","Scarlett | Real Food • Specialty Coffee","Pl. del Emperador Carlos V, 10, Centro, 28012 Madrid, Spain","40.4088529","-3.6927178000000005","Brunch Restaurant","0","4.6","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":false,""userRatingCount"":1611}"
"ChIJM9zrV_ApQg0RsglOMeSCo0s","Superchulo Brunch & Coffee Treehouse","Gran Vía, 55, Centro, 28013 Madrid, Spain","40.421549999999996","-3.7086286","Brunch Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":768}"
